Jenis Pendapatan.,
,Realisasi Pendapatan Pemerintah Provinsi DKI Jakarta Menurut Jenis Pendapatan (ribu rupiah)
,2021
1. Pendapatan Asli Daerah (PAD),41606.31
1.1 Pajak Daerah,34575.56
1.2 Retribusi Daerah,383.86
1.3 Hasil Perusahaan Milik Daerah dan Pengelolaan Kekayaan Daerah yang Dipisahkan,398.79
1.4 Lain-lain PAD yang Sah,6248.09
2. Dana Perimbangan,22630.42
2.1 Bagi Hasil Pajak,19347.74
2.2 Bagi Hasil Bukan Pajak/Sumber Daya Alam,49.22
2.3 Dana Alokasi Umum,0
2.4 Dana Alokasi Khusus,3233.46
3. Lain-lain Pendapatan yang Sah,1286.91
3.1 Pendapatan Hibah,1286.91
3.2 Dana Darurat,0
3.3 Dana Bagi Hasil Pajak dari Provinsi dan Pemerintah Daerah Lainnya,0
3.4 Dana Penyesuaian dan Otonomi Daerah,0
3.5 Bantuan Keuangan dari Provinsi atau Pemerintah Daerah Lainnya,0
3.6 Lainnya,0
Jumlah,65523.64
