Jenis Pendapatan.,
,Realisasi Pendapatan Pemerintah Provinsi DKI Jakarta Menurut Jenis Pendapatan (ribu rupiah)
,2023
1. Pendapatan Asli Daerah (PAD),52773.52
1.1 Pajak Daerah,43600
1.2 Retribusi Daerah,600
1.3 Hasil Perusahaan Milik Daerah dan Pengelolaan Kekayaan Daerah yang Dipisahkan,542.5
1.4 Lain-lain PAD yang Sah,8031.02
2. Dana Perimbangan,18457.25
2.1 Bagi Hasil Pajak,15271.91
2.2 Bagi Hasil Bukan Pajak/Sumber Daya Alam,35.57
2.3 Dana Alokasi Umum,22.18
2.4 Dana Alokasi Khusus,3127.59
3. Lain-lain Pendapatan yang Sah,3149.88
3.1 Pendapatan Hibah,3149.88
3.2 Dana Darurat,-
3.3 Dana Bagi Hasil Pajak dari Provinsi dan Pemerintah Daerah Lainnya,-
3.4 Dana Penyesuaian dan Otonomi Daerah,-
3.5 Bantuan Keuangan dari Provinsi atau Pemerintah Daerah Lainnya,-
3.6 Lainnya,-
Jumlah,74380.65
